street,start,end,notes
Albemarle Road,Watertown Street,Crafts Street,
Allen Avenue,775 feet south of Beacon Street,330 feet north of Woodward Street,
Beethoven Avenue,970 feet south of Beacon Street,385 feet north of Woodward Street,
Brandeis Road,Adeline Road,Lion Drive,
Chestnut Street,375 feet north of Pennsylvania Avenue,Oak Street,
Crafts Street,Watertown Street,500 feet west of Fessenden Lane,
Dudley Road,Brookline Street,Boylston Street,
East Side Parkway,,,entire length
Ellis Street,,,entire length
Homer Street,Commonwealth Avenue,Walnut Street,
Lake Avenue,528 feet south of Beacon Street,580 feet north of Rogers Street,
Lincoln Street,460 feet west of Bowdoin Street,Walnut Street,
Lion Drive,Brandeis Road,Greenwood Street,
Lowell Avenue,350 feet north of Arden Road,Austin Street,
Walnut Street,Hull Street,Austin Street,
Watertown Street,Hawthorn Street,Faxon Street,
Waverley Avenue,Tremont Street,Nonantum Street,