street,side,start,end,notes
Beethoven Avenue,east,275 feet south of Beacon Street,275 feet southerly,
Brookline Street,north,55 feet west of Hartman,87 feet westerly,
Brookline Street,north,157 feet west of Hartman,140 feet westerly,
Brookline Street,south,50 feet west of Oak Hill Street,75 feet westerly,
Cabot School Bridges-to-Parkview Connector Roadway,south,,,"entire length"
Cypress Street,east,420 feet north of Jackson Street,165 feet northerly,
Dedham Street,east,40 feet south of Woodcliff road,120 feet southerly,
Dedham Street,west,140 feet north of Woodcliff Road,intersection of Dedham Street and Walnut Street,
Derby Street,north,165 feet west of Cherry Street,245 feet westerly,
Dolphin Road,south,566 feet east of Mandalay Road,128 feet easterly,
Dolphin Road,east,575 feet north of Mandalay Road,Fellsmere Road,
East Side Parkway,west,260 feet south of Winchester Road,180 feet southerly,
Grove Street,west,300 feet south of Woodland Road,100 feet southerly,
Grove Street,east,30 feet south of Myrtle Avenue,90 feet southerly,
Hancock Street,east,75 feet south of Lasell Street,Lasell Street,
Jackson Road,east,Pearl Street,190 feet northerly,
Meadowbrook Road,east,94 feet north of Fox Hill Road,76 feet northerly,
Nevada Street,west,140 feet south of California Street,160 feet southerly,
Pearl Street,north,35 feet west of Gardner Street,40 feet east of Jackson Road,
Pine Street,east,388 feet north of Washburn Avenue,62 feet northerly,
Pine Street,west,388 feet north of Washburn Avenue,251 feet northerly,
Pleasant Street,east,20 feet north of Tyler Terrace,230 feet northerly,
Pleasant Street,west,55 feet south of Bracebridge Road,78 feet southerly,
Stein Circle,north,366 feet north of Saw Mill Brook Parkway,350 feet westerly,
Walnut Street,west,Florence Court,110 feet south of Minot Place,
Ward Street,north,50 feet east of West Boulevard Street,100 feet westerly,
Wells Avenue,odd,driveway of 125 Wells Avenue,260 feet northerly to 20 feet south of driveway of 135 Wells Avenue,
Wheeler Road,south,274 feet west of Meadowbrook Road,240 feet westerly,
Wheeler Road,north,105 feet west of Meadowbrook Road,89 feet westerly,
Wheeler Road,north,147 feet east of Sharpe Road,200 feet easterly,