lot_name,location,enforcement_hours,accessible_spaces,ev_spaces,other_reserved_spaces,reserved_notes
Auburndale,Lexington St,8AM-6PM Mon-Sat,2,0,6,Reserved for vehicles displaying Auburndale Business Permit
Newton Centre,Cypress St,8AM-6PM Mon-Sat,3,0,28,18 long-term spaces reserved for Newton Centre employees with permits Mon-Fri 8am-6pm
Newton Centre,Langley "Triangle",8AM-6PM Mon-Sat,6,0,1,ZipCar
Newton Centre,Pelham St,8AM-6PM Mon-Sat,4,0,1,ZipCar
Newton Centre,Pleasant St,8AM-6PM Mon-Sat,4,0,0,
Newton Corner,Pearl St,8AM-6PM Mon-Sat,3,0,0,
Newton Corner,Richardson St,8AM-6PM Mon-Sat,3,0,0,
Newton Highlands,Hartford St,8AM-6PM Mon-Sat,3,0,0,
Newtonville,Austin St,8AM-6PM Mon-Sat,5,0,0,
West Newton,Cherry St,8AM-6PM Mon-Sat,3,0,0,
West Newton,Waltham St,8AM-6PM Mon-Sat,4,1,3,Brigham House