street,side,start,end,distance,count,notes
Adams Street,north,220 feet from Centre Street,westerly 20 feet,20 feet,1,
Albemarle Road (eastern roadway),east,185 feet north of Watertown Street,390 feet north of Watertown Street,205 feet,6,
Albemarle Road (eastern roadway),east,530 feet north of Watertown Street,600 feet north of Watertown Street,70 feet,3,
Albemarle Road (eastern roadway),east,1355 feet north of Watertown Street,1395 feet north of Watertown Street,40 feet,3,
Albemarle Road (eastern roadway),east,1545 feet north of Watertown Street,1575 feet north of Watertown Street,30 feet,2,
Armory Street,west,300 feet north of Washington Street,,1,
Armory Street,west,320 feet north of Washington Street,,1,
Armory Street,west,230 feet north of Washington Street,northerly to end,,
Ash Street,north,,,1,opposite Auburndale Branch library
Aspen Avenue,north,130 feet west of Forest Avenue,158 feet west of Forest Avenue,28 feet,1,
Auburn Street,north,248 feet west of Lexington Street,280 feet west of Lexington Street,32 feet,1,
Beacon Street,north,60 feet west of Centre Street,80 feet west of Centre Street,20 feet,1,
Beech Street,,,in front of 16 Beech Street,,1,
Bowen Street,south,435 feet west of Centre Street,455 feet west of Centre Street,20 feet,1,
Bowen Street,south,460 feet west of Centre Street,480 feet west of Centre Street,20 feet,1,
Centre Green,east,95 feet south of Lyman Street,125 feet south of Lyman Street,30 feet,1,
Centre Street,west,40 feet south of Pleasant Street,60 feet south of Pleasant Street,20 feet,1,
Chapel Street,,,in front of 154 Chapel Street,,1,
Chestnut Street,north,290 feet east of Oak Street,310 feet east of Oak Street,20 feet,1,
Chestnut Street,north,320 feet east of Oak Street,340 feet east of Oak Street,20 feet,1,
Chestnut Street,south,110 feet west of Oak Street,85 feet west of Oak Street,25 feet,1,
Commonwealth Avenue,,,,,2,on either side of the front pathway to St. Ignatius Church
Commonwealth Avenue (South Drive),south,231 feet east of Melrose Street,253 feet east of Melrose Street,22 feet,1,
Coyne Road,,,in front of 18-20 Coyne Road,,1,
Crescent Avenue,east,105 feet south of Norwood Avenue,127 feet south of Norwood Avenue,22 feet,1,
Crystal Street,west,155 feet south of Beacon Street,175 feet south of Beacon Street,20 feet,1,
Curve Street,west,,,2,in front of #21 Curve Street (Myrtle Baptist Church)
Curve Street,west,240 feet south of Prospect Street,280 feet south of Prospect Street,40 feet,2,
Curve Street,west,150 feet south of Prospect Street,170 feet south of Prospect Street,20 feet,1,
Dalby Street,east,140 feet north of Watertown Street,160 feet north of Watertown Street,20 feet,1,
Elliot Street,south,195 feet east of Chestnut Street,220 feet east of Chestnut Street,25 feet,1,
Elm Street,west,50 feet north of Border Street,70 feet north of Border Street,20 feet,1,
Hawthorn Street,east,60 feet north of Burton Avenue,,1,
Homer Street,north,30 feet west of Centre Street,50 feet west of Centre Street,20 feet,1,
Homer Street,north,40 feet west of City Hall Drive,60 feet west of City Hall Drive,20 feet,1,
Homer Street,south,125 feet west of Walnut Street,145 feet west of Walnut Street,20 feet,1,
Hull Street,north,just to the west of the ramp,,3,
Langley Road,east,45 feet north of John Street,65 feet north of John Street,20 feet,1,
Lincoln Road,,,in front of #68,,1,
Lincoln Road,north,55 feet east of Hawthorn Street,75 feet east of Hawthorn Street,20 feet,1,
Lincoln Street,,,opposite the hp ramp at the Newton Highlands Congregational Church,,1,
Linwood Avenue,north,250 feet west of Nevada Street,,1,
Madison Avenue,east,immediately north of the crosswalk,,1,immediately north of the crosswalk
Mechanic Street,east,65 feet south of Elliot Street,85 feet south of Elliot Street,20 feet,1,
Murphy Court,north,70 feet west of Adams Street,90 feet west of Adams Street,20 feet,1,
Nevada Street,,,in front of 262 Nevada Street,,1,
Nevada Street,,,in front of the ramp leading to #538 California Street,,1,
Newbury Street,east,60 feet south of Newbury Terrace,80 feet south of Newbury Terrace,20 feet,1,
Plymouth Road,,,in front of #212 Plymouth Road,,1,
Suffolk Road,south,27 feet east of Woodman Road,47 feet east of Woodman Road,20 feet,1,
Temple Street,,,near the entrance to the Temple Shalom Parking Lot,,1,
Trowbridge Street,,,in front of 20 Trowbridge Street,,1,
Union Street,,,corner of Union Street and Herrick Road,,1,
Walnut Street,east,20 feet north of Foster Street,,1,
Walnut Street,east,150 feet north of Madison Avenue,170 feet north of Madison Avenue,20 feet,1,
Walnut Street,east,270 feet north of Washington Street,290 feet north of Washington Street,20 feet,1,
Walnut Street,west,225 feet south of Austin Street,245 feet south of Austin Street,20 feet,1,
Ward Street,north,150 feet east of West Boulevard Street,90 feet east of West Boulevard Street,60 feet,3,
Ward Street,north,40 feet east of Morseland Avenue,60 feet east of Morseland Avenue,20 feet,1,
Washington Park,north,130 feet east of Park Place,155 feet east of Park Place,25 feet,1,
Washington Street,north,290 feet west of Armory Street,310 feet west of Armory Street,20 feet,1,
Washington Street,north,25 feet west of Kempton Place,45 feet west of Kempton Place,20 feet,1,
Washington Street,north,155 feet west of Waltham Street,175 feet west of Waltham Street,20 feet,1,
Washington Street,north,100 feet west of Elm Street,120 feet west of Elm Street,20 feet,1,
Washington Street,south,220 feet east of Highland Street,240 feet east of Highland Street,20 feet,1,
Washington Street,south,400 feet east of Highland Street,420 feet east of Highland Street,20 feet,1,
Washington Street,north,180 feet west of Central Avenue,160 feet west of Central Avenue,20 feet,1,
Washington Street,north,240 feet east of Lowell Avenue,220 feet east of Lowell Avenue,20 feet,1,
Washington Street,south,380 feet east of Crafts Street,400 feet east of Crafts Street,20 feet,1,
Washington Street,southeast,710 feet north of Beacon Street,730 feet north of Beacon Street,20 feet,1,
Washington Street,southeast,730 feet north of Beacon Street,750 feet north of Beacon Street,20 feet,1,
Watertown Street,,,in front of #468,,1,
Watertown Street,,,in front of 851 Watertown Street,,1,
Watertown Street,north,20 feet east of Bridge Street,42 feet east of Bridge Street,22 feet,1,
Watertown Street,north,110 feet east of Waltham Street,90 feet east of Waltham Street,20 feet,1,
Watertown Street,south,46 feet east of Dunstan Street,66 feet east of Dunstan Street,20 feet,1,
Watertown Street,south,92 feet east of Chapel Street,112 feet east of Chapel Street,20 feet,1,
West Street,east,272 feet south of Watertown Street,294 feet south of Watertown Street,22 feet,1,
West Street,,,in front of #20,,1,
West Street,,,in front of #38 or #42,,1,
Windsor Road,,,NW corner of Beacon/Windsor,,1,
Wyman Street,east,150 feet south of Woodward Street,172 feet south of Woodward Street,22 feet,1,
Wyman Street,northeast,320 feet southwest of Woodward Street,340 feet southwest of Woodward Street,20 feet,1,