street	direction	entry_type	start_point	end_point	length_miles	offset_miles	speed_mph	source_text	notes
Vine Street	westbound	stanza		Brookline Street	0.2	0.16	25	Vine Street, westbound, beginning 100 feet west of LaGrange Street, thence westerly on Vine Street: 0.16 miles at 20 miles per hour 0.20 miles at 25 miles per hour ending at Brookline Street; the total distance being 0.36 miles.	segment 2 of 2
Walnut Street	northbound	stanza	north of Route 9		0.33	0.0	25	Walnut Street, northbound, beginning north of Route 9, thence northerly on Walnut Street: 0.33 miles at 25 miles per hour 0.40 miles at 30 miles per hour 2.12 miles at 25 miles per hour ending at Crafts Street; the total distance being 2.85 miles.	segment 1 of 3
Walnut Street	northbound	stanza			0.4	0.33	30	Walnut Street, northbound, beginning north of Route 9, thence northerly on Walnut Street: 0.33 miles at 25 miles per hour 0.40 miles at 30 miles per hour 2.12 miles at 25 miles per hour ending at Crafts Street; the total distance being 2.85 miles.	segment 2 of 3
Walnut Street	northbound	stanza		Crafts Street	2.12	0.73	25	Walnut Street, northbound, beginning north of Route 9, thence northerly on Walnut Street: 0.33 miles at 25 miles per hour 0.40 miles at 30 miles per hour 2.12 miles at 25 miles per hour ending at Crafts Street; the total distance being 2.85 miles.	segment 3 of 3
Walnut Street	southbound	stanza	Crafts Street		2.12	0.0	25	Walnut Street, southbound, beginning at Crafts Street, thence southerly on Walnut Street: 2.12 miles at 25 miles per hour 0.40 miles at 30 miles per hour 0.33 miles at 25 miles per hour ending north of Route 9, the total distance being 2.85 miles.	segment 1 of 3
Walnut Street	southbound	stanza			0.4	2.12	30	Walnut Street, southbound, beginning at Crafts Street, thence southerly on Walnut Street: 2.12 miles at 25 miles per hour 0.40 miles at 30 miles per hour 0.33 miles at 25 miles per hour ending north of Route 9, the total distance being 2.85 miles.	segment 2 of 3
Walnut Street	southbound	stanza		north of Route 9	0.33	2.52	25	Walnut Street, southbound, beginning at Crafts Street, thence southerly on Walnut Street: 2.12 miles at 25 miles per hour 0.40 miles at 30 miles per hour 0.33 miles at 25 miles per hour ending north of Route 9, the total distance being 2.85 miles.	segment 3 of 3
Waltham Street	northbound	stanza	a point 700 feet north of Washington Street		0.22	0.0	25	Waltham Street, northbound, beginning at a point 700 feet north of Washington Street, thence northerly on 0.22 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.24 miles at 30 miles per hour ending at the Newton-Waltham line; the total distance being 0.98 miles.	segment 1 of 4
Waltham Street	northbound	stanza			0.35	0.22	30	Waltham Street, northbound, beginning at a point 700 feet north of Washington Street, thence northerly on 0.22 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.24 miles at 30 miles per hour ending at the Newton-Waltham line; the total distance being 0.98 miles.	segment 2 of 4
Waltham Street	northbound	stanza			0.17	0.57	25	Waltham Street, northbound, beginning at a point 700 feet north of Washington Street, thence northerly on 0.22 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.24 miles at 30 miles per hour ending at the Newton-Waltham line; the total distance being 0.98 miles.	segment 3 of 4
Waltham Street	northbound	stanza		the Newton-Waltham line	0.24	0.74	30	Waltham Street, northbound, beginning at a point 700 feet north of Washington Street, thence northerly on 0.22 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.24 miles at 30 miles per hour ending at the Newton-Waltham line; the total distance being 0.98 miles.	segment 4 of 4
Waltham Street	southbound	stanza	the Newton-Waltham Line		0.24	0.0	30	Waltham Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Waltham Street: 0.24 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.35 miles at 25 miles per hour ending at Washington Street; the total distance being 1.11 miles.	segment 1 of 4
Waltham Street	southbound	stanza			0.17	0.24	25	Waltham Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Waltham Street: 0.24 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.35 miles at 25 miles per hour ending at Washington Street; the total distance being 1.11 miles.	segment 2 of 4
Waltham Street	southbound	stanza			0.35	0.41	30	Waltham Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Waltham Street: 0.24 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.35 miles at 25 miles per hour ending at Washington Street; the total distance being 1.11 miles.	segment 3 of 4
Waltham Street	southbound	stanza		Washington Street	0.35	0.76	25	Waltham Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Waltham Street: 0.24 miles at 30 miles per hour 0.17 miles at 25 miles per hour 0.35 miles at 30 miles per hour 0.35 miles at 25 miles per hour ending at Washington Street; the total distance being 1.11 miles.	segment 4 of 4
Ward Street	eastbound	stanza	a point 500 feet east of Elmore Street	Manet Road	0.95	0.0	25	Ward Street, eastbound, beginning at a point 500 feet east of Elmore Street, thence easterly on Ward Street: 0.95 miles at 25 miles per hour ending at Manet Road; the total distance being 0.95 miles.	
Ward Street	westbound	stanza	a point 100 feet west of Hammond Street	Morseland Avenue	0.99	0.0	25	Ward Street, westbound, beginning at a point 100 feet west of Hammond Street, thence southerly on Ward 0.99 miles at 25 miles per hour ending at Morseland Avenue; the total distance being 0.99 miles.	
Webster Street	eastbound	stanza	Rowe Street	Waltham Street	0.76	0.0	25	Webster Street, eastbound, beginning at Rowe Street, thence easterly on Webster Street: 0.76 miles at 25 miles per hour ending at Waltham Street; the total distance being 0.76 miles.	
Webster Street	westbound	stanza	Waltham Street	Rowe Street	0.76	0.0	25	Webster Street, westbound, beginning at Waltham Street, thence westerly on Webster Street: 0.76 miles at 25 miles per hour ending at Rowe Street; the total distance being 0.76 miles.	
Winchester Street	northbound	stanza	Nahanton Street	Centre Street	1.46	0.0	30	Winchester Street, northbound, beginning at Nahanton Street, thence northerly on Winchester Street: 1.46 miles at 30 miles per hour ending at Centre Street; the total distance being 1.46 miles.	
Winchester Street	southbound	stanza	Centre Street	Nahanton Street	1.46	0.0	30	Winchester Street, southbound, beginning at Centre Street, thence southerly on Winchester Street: 1.46 miles at 30 miles per hour ending at Nahanton Street; the total distance being 1.46 miles.	
Woodland Road	eastbound	stanza	a point 150 feet east of Central Street	Washington Street	0.68	0.0	30	Woodland Road, eastbound, beginning at a point 150 feet east of Central Street, thence easterly on Woodland 0.68 miles at 30 miles per hour ending at Washington Street; the total distance being 0.68 miles.	
Woodland Road	westbound	stanza	Washington Street	Central Street	0.71	0.0	30	Woodland Road, westbound, beginning at Washington Street, thence westerly on Woodland Road: 0.71 miles at 30 miles per hour ending at Central Street; the total distance being .71 miles.	
Centre Street		oneliner	Route 9 overpass	Centre Avenue			25	Centre Street, 25 miles per hour from Route 9 overpass to Centre Avenue. (Ord. No. V-145, 10-20-97)	
Cummings Road.		oneliner	Homer Street	end			25	Cummings Road., 25 miles per hour from Homer Street to end. (Ord. No. X-23, 7-8-02)	
Fuller Street		oneliner	Commonwealth Avenue	Chestnut Street			25	Fuller Street, 25 miles per hour from Commonwealth Avenue to Chestnut Street. (Ord. No. W-1, 7-10-00)	
Windsor Road		oneliner	Beacon Street	Moffat Road			25	Windsor Road, 25 miles per hour, from Beacon Street to Moffat Road. (Ord. No. U-41, 5-2-94)	
Wolcott Street		oneliner	Webster Street	Lexington Street			25	Wolcott Street, 25 miles per hour, from Webster Street to Lexington Street. (Ord. No. U-40, 4-19-94)	
Beacon Street	eastbound	table	Samoset Road	42.326424, -71.234588			30	Beacon Street eastbound: Samoset Road to 42.326424, -71.234588, 30 mph	
Beacon Street	eastbound	table	42.326424, -71.234588	Woodward Street			25	Beacon Street eastbound: 42.326424, -71.234588 to Woodward Street, 25 mph	
Beacon Street	eastbound	table	Woodward Street	Chestnut Street			30	Beacon Street eastbound: Woodward Street to Chestnut Street, 30 mph	
Beacon Street	eastbound	table	42.331057, -71.214135	Crescent Avenue			30	Beacon Street eastbound: 42.331057, -71.214135 to Crescent Avenue, 30 mph	
Beacon Street	eastbound	table	Crescent Avenue	Chesley Road			25	Beacon Street eastbound: Crescent Avenue to Chesley Road, 25 mph	
Beacon Street	eastbound	table	Chesley Road	Bishopsgate Road			35	Beacon Street eastbound: Chesley Road to Bishopsgate Road, 35 mph	
Beacon Street	eastbound	table	Bishopsgate Road	Boston City Line			30	Beacon Street eastbound: Bishopsgate Road to Boston City Line, 30 mph	
Beacon Street	westbound	table	Boston City Line	Bishopsgate Road			30	Beacon Street westbound: Boston City Line to Bishopsgate Road, 30 mph	
Beacon Street	westbound	table	Bishopsgate Road	Grant Avenue			35	Beacon Street westbound: Bishopsgate Road to Grant Avenue, 35 mph	
Beacon Street	westbound	table	Grant Avenue	Centre Street			25	Beacon Street westbound: Grant Avenue to Centre Street, 25 mph	
Beacon Street	westbound	table	Centre Street	42.331062, -71.210093			30	Beacon Street westbound: Centre Street to 42.331062, -71.210093, 30 mph	
Beacon Street	westbound	table	Ashmont Road	Woodward Street			30	Beacon Street westbound: Ashmont Road to Woodward Street, 30 mph	
Beacon Street	westbound	table	Woodward Street	42.326376, -71.234314			25	Beacon Street westbound: Woodward Street to 42.326376, -71.234314, 25 mph	
Beacon Street	westbound	table	42.326376, -71.234314	Agawam Road			30	Beacon Street westbound: 42.326376, -71.234314 to Agawam Road, 30 mph	
Beacon Street	westbound	table	Agawam Road	Washington Street			25	Beacon Street westbound: Agawam Road to Washington Street, 25 mph	
Cabot Street	eastbound	table	Walnut Street	Harvard Street			30	Cabot Street eastbound: Walnut Street to Harvard Street, 30 mph	
Cabot Street	eastbound	table	Harvard Street	Langdon Street			25	Cabot Street eastbound: Harvard Street to Langdon Street, 25 mph	
Cabot Street	eastbound	table	Langdon Street	Centre Street			20	Cabot Street eastbound: Langdon Street to Centre Street, 20 mph	
Cabot Street	westbound	table	Centre Street	Langdon Street			20	Cabot Street westbound: Centre Street to Langdon Street, 20 mph	
Cabot Street	westbound	table	Langdon Street	Harvard Street			25	Cabot Street westbound: Langdon Street to Harvard Street, 25 mph	
Cabot Street	westbound	table	Harvard Street	Walnut Street			30	Cabot Street westbound: Harvard Street to Walnut Street, 30 mph	
California Street	eastbound	table	Crafts Street	Melbourne Avenue			30	California Street eastbound: Crafts Street to Melbourne Avenue, 30 mph	
California Street	eastbound	table	Melbourne Avenue	Chapel Street			20	California Street eastbound: Melbourne Avenue to Chapel Street, 20 mph	
California Street	eastbound	table	Chapel Street	Watertown City Line			30	California Street eastbound: Chapel Street to Watertown City Line, 30 mph	
California Street	westbound	table	Watertown City Line	Chapel Street			30	California Street westbound: Watertown City Line to Chapel Street, 30 mph	
California Street	westbound	table	Chapel Street	Melbourne Avenue			20	California Street westbound: Chapel Street to Melbourne Avenue, 20 mph	
California Street	westbound	table	Melbourne Avenue	Crafts Street			30	California Street westbound: Melbourne Avenue to Crafts Street, 30 mph	
Centre Street	northbound	table	42.319725, -71.206248	42.320975, -71.204219			25	Centre Street northbound: 42.319725, -71.206248 to 42.320975, -71.204219, 25 mph	
Centre Street	northbound	table	42.320975, -71.204219	Paul Street			35	Centre Street northbound: 42.320975, -71.204219 to Paul Street, 35 mph	
Centre Street	northbound	table	Paul Street	Homer Street			25	Centre Street northbound: Paul Street to Homer Street, 25 mph	
Centre Street	northbound	table	Homer Street	Hyde Avenue			30	Centre Street northbound: Homer Street to Hyde Avenue, 30 mph	
Centre Street	northbound	table	Hyde Avenue	42.355641, -71.186079			25	Centre Street northbound: Hyde Avenue to 42.355641, -71.186079, 25 mph	
Centre Street	southbound	table	42.355745, -71.186296	Bellevue Street			25	Centre Street southbound: 42.355745, -71.186296 to Bellevue Street, 25 mph	
Centre Street	southbound	table	Bellevue Street	Homer Street			30	Centre Street southbound: Bellevue Street to Homer Street, 30 mph	
Centre Street	southbound	table	Homer Street	Paul Street			25	Centre Street southbound: Homer Street to Paul Street, 25 mph	
Centre Street	southbound	table	Paul Street	Aberdeen Street			35	Centre Street southbound: Paul Street to Aberdeen Street, 35 mph	
Centre Street	southbound	table	Aberdeen Street	42.319738, -71.206332			25	Centre Street southbound: Aberdeen Street to 42.319738, -71.206332, 25 mph	
Chestnut Street	northbound	table	Oak Street	Anita Circle			25	Chestnut Street northbound: Oak Street to Anita Circle, 25 mph	
Chestnut Street	northbound	table	Anita Circle	Beacon Street			30	Chestnut Street northbound: Anita Circle to Beacon Street, 30 mph	
Chestnut Street	northbound	table	Beacon Street	Caroline Park			20	Chestnut Street northbound: Beacon Street to Caroline Park, 20 mph	
Chestnut Street	northbound	table	Caroline Park	Washington Street			30	Chestnut Street northbound: Caroline Park to Washington Street, 30 mph	
Chestnut Street	southbound	table	Washington Street	Byfield Road			30	Chestnut Street southbound: Washington Street to Byfield Road, 30 mph	
Chestnut Street	southbound	table	Byfield Road	Beacon Street			20	Chestnut Street southbound: Byfield Road to Beacon Street, 20 mph	
Chestnut Street	southbound	table	Beacon Street	Anita Circle			30	Chestnut Street southbound: Beacon Street to Anita Circle, 30 mph	
Chestnut Street	southbound	table	Anita Circle	Oak Street			25	Chestnut Street southbound: Anita Circle to Oak Street, 25 mph	
Hammond Street	northbound	table	Brookline Town Line	Suffolk Road			20	Hammond Street northbound: Brookline Town Line to Suffolk Road, 20 mph	
Hammond Street	northbound	table	Suffolk Road	Beacon Street			25	Hammond Street northbound: Suffolk Road to Beacon Street, 25 mph	
Hammond Street	northbound	table	Priscilla Road	Ward Street			25	Hammond Street northbound: Priscilla Road to Ward Street, 25 mph	
Hammond Street	southbound	table	Ward Street	Crosby Road			25	Hammond Street southbound: Ward Street to Crosby Road, 25 mph	
Hammond Street	southbound	table	Crosby Road	42.334212, -71.174110			20	Hammond Street southbound: Crosby Road to 42.334212, -71.174110, 20 mph	
Hammond Street	southbound	table	42.334212, -71.174110	Suffolk Road			25	Hammond Street southbound: 42.334212, -71.174110 to Suffolk Road, 25 mph	
Hammond Street	southbound	table	Suffolk Road	Brookline Town Line			20	Hammond Street southbound: Suffolk Road to Brookline Town Line, 20 mph	
Langley Road	northbound	table	State Route 9 (Boylston Street)	Beecher Place			25	Langley Road northbound: State Route 9 (Boylston Street) to Beecher Place, 25 mph	
Langley Road	northbound	table	Beecher Place	Glazer Road			30	Langley Road northbound: Beecher Place to Glazer Road, 30 mph	
Langley Road	northbound	table	Glazer Road	Beacon Street			25	Langley Road northbound: Glazer Road to Beacon Street, 25 mph	
Langley Road	southbound	table	Centre Street	Glazer Road			25	Langley Road southbound: Centre Street to Glazer Road, 25 mph	
Langley Road	southbound	table	Glazer Road	Beecher Place			30	Langley Road southbound: Glazer Road to Beecher Place, 30 mph	
Langley Road	southbound	table	Beecher Place	State Route 9 (Boylston Street)			25	Langley Road southbound: Beecher Place to State Route 9 (Boylston Street), 25 mph	
Lowell Avenue	northbound	table	Commonwealth Avenue	Highland Avenue			30	Lowell Avenue northbound: Commonwealth Avenue to Highland Avenue, 30 mph	
Lowell Avenue	northbound	table	Highland Avenue	Walnut Street			25	Lowell Avenue northbound: Highland Avenue to Walnut Street, 25 mph	
Lowell Avenue	southbound	table	Walnut Street	Highland Avenue			25	Lowell Avenue southbound: Walnut Street to Highland Avenue, 25 mph	
Lowell Avenue	southbound	table	Highland Avenue	Commonwealth Avenue			30	Lowell Avenue southbound: Highland Avenue to Commonwealth Avenue, 30 mph	
Newtonville Avenue	eastbound	table	Walnut Street	Centre Street			25	Newtonville Avenue eastbound: Walnut Street to Centre Street, 25 mph	
Newtonville Avenue	westbound	table	Centre Street	Walnut Street			25	Newtonville Avenue westbound: Centre Street to Walnut Street, 25 mph	
River Street	northbound	table	Waltham Street	Mague Avenue			25	River Street northbound: Waltham Street to Mague Avenue, 25 mph	
River Street	northbound	table	Mague Avenue	Lexington Street			30	River Street northbound: Mague Avenue to Lexington Street, 30 mph	
River Street	southbound	table	Lexington Street	Mague Avenue			30	River Street southbound: Lexington Street to Mague Avenue, 30 mph	
River Street	southbound	table	Mague Avenue	Waltham Street			25	River Street southbound: Mague Avenue to Waltham Street, 25 mph	
Tremont Street	eastbound	table	Park Street	42.354348, -71.179588			25	Tremont Street eastbound: Park Street to 42.354348, -71.179588, 25 mph	
Tremont Street	eastbound	table	42.354348, -71.179588	Boston City Line			35	Tremont Street eastbound: 42.354348, -71.179588 to Boston City Line, 35 mph	
Tremont Street	westbound	table	Boston City Line	42.354398, -71.179542			35	Tremont Street westbound: Boston City Line to 42.354398, -71.179542, 35 mph	
Tremont Street	westbound	table	42.354398, -71.179542	Park Street			25	Tremont Street westbound: 42.354398, -71.179542 to Park Street, 25 mph	
Washington Street	eastbound	table	Wellesley Town Line	Quinobequin Road			25	Washington Street eastbound: Wellesley Town Line to Quinobequin Road, 25 mph	
Washington Street	eastbound	table	Belmore Park	42.330475, -71.248091			25	Washington Street eastbound: Belmore Park to 42.330475, -71.248091, 25 mph	
Washington Street	eastbound	table	42.330475, -71.248091	Prospect Street			35	Washington Street eastbound: 42.330475, -71.248091 to Prospect Street, 35 mph	
Washington Street	eastbound	table	Prospect Street	42.349180, -71.223669			25	Washington Street eastbound: Prospect Street to 42.349180, -71.223669, 25 mph	
Washington Street	eastbound	table	Walnut Park	42.355673, -71.179439			25	Washington Street eastbound: Walnut Park to 42.355673, -71.179439, 25 mph	
Washington Street	eastbound	table	42.355673, -71.179439	Boston City Line			35	Washington Street eastbound: 42.355673, -71.179439 to Boston City Line, 35 mph	
Washington Street	westbound	table	Boston City Line	Hunnewell Avenue			35	Washington Street westbound: Boston City Line to Hunnewell Avenue, 35 mph	
Washington Street	westbound	table	Hunnewell Avenue	Walnut Park			25	Washington Street westbound: Hunnewell Avenue to Walnut Park, 25 mph	
Washington Street	westbound	table	42.349243, -71.223712	Prospect Street			25	Washington Street westbound: 42.349243, -71.223712 to Prospect Street, 25 mph	
Washington Street	westbound	table	Prospect Street	42.330721, -71.248037			35	Washington Street westbound: Prospect Street to 42.330721, -71.248037, 35 mph	
Washington Street	westbound	table	42.330721, -71.248037	Belmore Park			25	Washington Street westbound: 42.330721, -71.248037 to Belmore Park, 25 mph	
Washington Street	westbound	table	Quinobequin Road	Wellesley Town Line			25	Washington Street westbound: Quinobequin Road to Wellesley Town Line, 25 mph	
Watertown Street	eastbound	table	Washington Street	Davis Avenue			25	Watertown Street eastbound: Washington Street to Davis Avenue, 25 mph	
Watertown Street	eastbound	table	Davis Avenue	Crafts Street			35	Watertown Street eastbound: Davis Avenue to Crafts Street, 35 mph	
Watertown Street	eastbound	table	Crafts Street	2.359229, -71.203450			30	Watertown Street eastbound: Crafts Street to 2.359229, -71.203450, 30 mph	source coordinate missing leading digit; likely 42.359229
Watertown Street	eastbound	table	2.359229, -71.203450	Watertown City Line			25	Watertown Street eastbound: 2.359229, -71.203450 to Watertown City Line, 25 mph	source coordinate missing leading digit; likely 42.359229
Watertown Street	westbound	table	Watertown City Line	42.359286, -71.203433			25	Watertown Street westbound: Watertown City Line to 42.359286, -71.203433, 25 mph	
Watertown Street	westbound	table	42.359286, -71.203433	Walnut Street			30	Watertown Street westbound: 42.359286, -71.203433 to Walnut Street, 30 mph	
Watertown Street	westbound	table	Walnut Street	Davis Avenue			35	Watertown Street westbound: Walnut Street to Davis Avenue, 35 mph	
Watertown Street	westbound	table	Davis Avenue	Washington Street			25	Watertown Street westbound: Davis Avenue to Washington Street, 25 mph	
Waverly Avenue	northbound	table	Gralynn Road	Church Street			30	Waverly Avenue northbound: Gralynn Road to Church Street, 30 mph	
Waverly Avenue	northbound	table	Church Street	Washington Street			25	Waverly Avenue northbound: Church Street to Washington Street, 25 mph	
Waverly Avenue	southbound	table	Washington Street	Church Street			25	Waverly Avenue southbound: Washington Street to Church Street, 25 mph	
Waverly Avenue	southbound	table	Church Street	Ward Street			30	Waverly Avenue southbound: Church Street to Ward Street, 30 mph	
Woodward Street	eastbound	table	Pine Ridge Road	Homestead Street			25	Woodward Street eastbound: Pine Ridge Road to Homestead Street, 25 mph	
Woodward Street	eastbound	table	Plymouth Road	State Route 9 (Boylston Street)			25	Woodward Street eastbound: Plymouth Road to State Route 9 (Boylston Street), 25 mph	
Woodward Street	westbound	table	State Route 9 (Boylston Street)	Plymouth Road			25	Woodward Street westbound: State Route 9 (Boylston Street) to Plymouth Road, 25 mph	
Woodward Street	westbound	table	Homestead Street	Beacon Street			25	Woodward Street westbound: Homestead Street to Beacon Street, 25 mph	
