street1,street2,other_streets,direction,times,notes,turn_type,when_illuminated,notes
Angier School driveway,Beacon Street,,southbound,,,,no,
Beacon Street,Sumner Street,,westbound,,,,no,
Beacon Street,Beethoven Avenue,,eastbound,,,,no,
Beacon Street,Evelyn Road,,westbound,,,,no,
Beacon Street,Langley Road,,eastbound,,,,no,
Beacon Street Extension,Washington Street,,eastbound,,,,no,
Beethoven Avenue,Beacon Street,,northbound,,,,no,
Cabot Street,Walnut Street,,westbound,,,,no,
Centre Avenue,Centre Street,,eastbound,,,,no,
Centre Street,Commonwealth Avenue,,all directions,,,,no,
Centre Street,Park Street,,eastbound,,,,no,
Centre Street,Church Street,,all approaches,,,,no,
Charlesbank Road,Nonantum Road,,eastbound,,,,no,
Chestnut Street,Woodward Street,,all directions,,,,no,
Church Street,Washington Street,,northwestbound,,,,no,
Commonwealth Avenue,Grant Avenue,,westbound,,,,no,
Commonwealth Avenue,Washington Street,,westbound,,,,no,
Crafts Street,Linwood Avenue,,all approaches,,,,no,
Crafts Street,North Street,,northbound,,,,no,
Crafts Street,Watertown Street,,all directions,,,,no,
Dedham Street,Winchester Street,,westbound,,,,no,
Edinboro Street,Watertown Street,Walker Street,all directions,,,,no,
Elm Street,Washington Street,,southbound,,,,yes,
Evelyn Road,Beacon Street,,southbound,,,,no,
Grant Avenue,Commonwealth Avenue,,northbound,,,,no,
Grant Avenue,Commonwealth Avenue,,southbound,,,,no,
Grant Avenue,Carriage Road,,southbound,,,,no,
Hammond Street,Commonwealth Avenue,,northbound,,,,no,
Hammond Street,Commonwealth Avenue,,southbound,,,,no,
Hammond Street,Carriage Road,,southbound,,,,no,
Harvard Street,Washington Street,,northbound,,,,no,
Highland Street,Washington Street,,northbound,,,,no,
Homer Street,Walnut Street,,westbound,,,,no,
Jefferson Street,Centre Street,,westbound,,,,no,
Lowell Avenue,Washington Street,,all approaches,,,,no,
Manitoba Road,Beacon Street,,northbound,,,,no,
North Street,Crafts Street,,southbound,,,,no,
Park Street,Centre Street,,northeastbound,,,,no,
Park Street,Centre Street,,northbound,,,,no,
Park Street,Tremont Street,,northbound,,,,no,
Park Street,Tremont Street,,southbound,,,,no,
Parker Street,Wheeler Road,,northbound,,,,no,
Pearl Street,Centre Street,,eastbound,,,,no,
Perkins Street,Washington Street,,northbound,,,,no,
Stuart Road,Waverley Avenue,,,,,no,,
Tremont Street,Park Street,,westbound,,,,no,
Wachusett Road,Commonwealth Avenue,,northbound,,,,no,
Walnut Street,Centre Street,,northbound,,,,no,
Walnut Street,Centre Street,,southbound,,,,no,
Walnut Street,Washington Street,,northbound and southbound,,,,no,
Waltham Street,Washington Street,,southbound,,,,no,
Washington Street,Washington Street,,eastbound,,opposite Elm Street,,no,
Washington Street,Harvard Street,,eastbound,,,,no,
Washington Street,St. James Street,,eastbound,,,,no,
Washington Street,bridge over turnpike,,northbound,,,,no,
Washington Street,Bacon Street,,westbound,,,,no,
Washington Street,Highland Street,,eastbound,,,,no,
Washington Street,Walnut Street,,eastbound,,,,yes,
Washington Street,Walnut Street,,westbound,,,,yes,
Massachusetts Turnpike off-ramp,Washington Street,,left and center lane,,exit 125,,no,
Washington Street,Cherry Street,,westbound,,,,no,
Watertown Street,Albemarle Road,Brookside Avenue,all approaches,,,,no,
Watertown Street,Washington Street,,westbound,,,,no,
Watertown Street,Walnut Street,,all approaches,,,,no,
Wheeler Road,Parker Street,,westbound,,,,no,
Winchester Street,Nahanton Street,,southbound,"Monday–Friday, 7:00 a.m. – 9:00 a.m. & 3:00 p.m. – 7:00 p.m.",,,no,
Washington Street northbound one-way bridge,Massachusetts Turnpike entrance on-ramp,,far left two lanes,,exit 127,,no,left turn